prname,pruid,reporting_year,reporting_week,date,numtests_weekly,percentpositivity_weekly,update
Saskatchewan,47,2023,17,2023-04-29,1839,8.8,1
Manitoba,46,2023,17,2023-04-29,1325,10.4,1
Ontario,35,2023,17,2023-04-29,9083,7.8,1
Quebec,24,2023,17,2023-04-29,15387,9.3,1
Newfoundland and Labrador,10,2023,17,2023-04-29,482,9.5,1
New Brunswick,13,2023,17,2023-04-29,704,11.9,1
Nova Scotia,12,2023,17,2023-04-29,1342,15.6,1
Prince Edward Island,11,2023,17,2023-04-29,172,14.5,1
Yukon,60,2023,17,2023-04-29,42,7.1,1
Northwest Territories,61,2023,17,2023-04-29,18,0,1
Nunavut,62,2023,17,2023-04-29,112,1.8,1
Canada,1,2023,17,2023-04-29,38134,10.1,
British Columbia,59,2023,18,2023-05-06,3123,15.6,1
Alberta,48,2023,18,2023-05-06,3751,9.5,1
Saskatchewan,47,2023,18,2023-05-06,1664,8.5,1
Manitoba,46,2023,18,2023-05-06,1350,13,1
Ontario,35,2023,18,2023-05-06,8229,8.5,1
Quebec,24,2023,18,2023-05-06,14520,8.5,1
Newfoundland and Labrador,10,2023,18,2023-05-06,459,13.1,1
New Brunswick,13,2023,18,2023-05-06,712,11.9,1
Nova Scotia,12,2023,18,2023-05-06,1425,16.8,1
Prince Edward Island,11,2023,18,2023-05-06,147,12.9,1
Yukon,60,2023,18,2023-05-06,48,6.2,1
Northwest Territories,61,2023,18,2023-05-06,19,10.5,1
Nunavut,62,2023,18,2023-05-06,134,1.5,1
Canada,1,2023,18,2023-05-06,35581,9.8,
British Columbia,59,2023,19,2023-05-13,2794,13.9,1
Alberta,48,2023,19,2023-05-13,2874,9.3,1
Saskatchewan,47,2023,19,2023-05-13,1633,7.8,1
Manitoba,46,2023,19,2023-05-13,1226,10.7,1
Ontario,35,2023,19,2023-05-13,7456,8.6,1
Quebec,24,2023,19,2023-05-13,12892,8.3,1
Newfoundland and Labrador,10,2023,19,2023-05-13,421,12.8,1
New Brunswick,13,2023,19,2023-05-13,666,12.6,1
Nova Scotia,12,2023,19,2023-05-13,1370,18.5,1
Prince Edward Island,11,2023,19,2023-05-13,100,9,1
Yukon,60,2023,19,2023-05-13,36,2.8,1
Northwest Territories,61,2023,19,2023-05-13,18,0,1
Nunavut,62,2023,19,2023-05-13,136,2.2,1
Canada,1,2023,19,2023-05-13,31622,9.6,
British Columbia,59,2023,20,2023-05-20,2498,13.5,1
Alberta,48,2023,20,2023-05-20,3222,7.8,1
Saskatchewan,47,2023,20,2023-05-20,1507,6.2,1
Manitoba,46,2023,20,2023-05-20,1104,9.2,1
Ontario,35,2023,20,2023-05-20,6935,8.5,1
Quebec,24,2023,20,2023-05-20,11868,8.5,1
Newfoundland and Labrador,10,2023,20,2023-05-20,392,9.2,1
New Brunswick,13,2023,20,2023-05-20,615,13.8,1
Nova Scotia,12,2023,20,2023-05-20,1352,19.2,1
Prince Edward Island,11,2023,20,2023-05-20,104,3.8,1
Yukon,60,2023,20,2023-05-20,60,6.7,1
Northwest Territories,61,2023,20,2023-05-20,14,7.1,1
Nunavut,62,2023,20,2023-05-20,82,4.9,1
Canada,1,2023,20,2023-05-20,29753,9.3,
British Columbia,59,2023,21,2023-05-27,2481,11.1,1
Alberta,48,2023,21,2023-05-27,3096,7.9,1
Saskatchewan,47,2023,21,2023-05-27,1398,5.3,1
Manitoba,46,2023,21,2023-05-27,1083,9.3,1
Ontario,35,2023,21,2023-05-27,6566,9.2,1
Quebec,24,2023,21,2023-05-27,10150,8.7,1
Newfoundland and Labrador,10,2023,21,2023-05-27,399,9.8,1
New Brunswick,13,2023,21,2023-05-27,657,12.2,1
Nova Scotia,12,2023,21,2023-05-27,1175,17,1
Prince Edward Island,11,2023,21,2023-05-27,80,8.8,1
Yukon,60,2023,21,2023-05-27,57,12.3,1
Northwest Territories,61,2023,21,2023-05-27,15,20,1
Nunavut,62,2023,21,2023-05-27,121,1.7,1
Canada,1,2023,21,2023-05-27,27278,9.2,
British Columbia,59,2023,22,2023-06-03,2286,10.1,1
Alberta,48,2023,22,2023-06-03,3109,6.9,1
Saskatchewan,47,2023,22,2023-06-03,1224,2.9,1
Manitoba,46,2023,22,2023-06-03,1035,7.3,1
Ontario,35,2023,22,2023-06-03,6854,8.6,1
Quebec,24,2023,22,2023-06-03,9842,8.6,1
Newfoundland and Labrador,10,2023,22,2023-06-03,383,9.4,1
New Brunswick,13,2023,22,2023-06-03,649,10,1
Nova Scotia,12,2023,22,2023-06-03,1042,14.4,1
Prince Edward Island,11,2023,22,2023-06-03,69,13,1
Yukon,60,2023,22,2023-06-03,31,0,1
Northwest Territories,61,2023,22,2023-06-03,29,0,1
Nunavut,62,2023,22,2023-06-03,130,0,1
Canada,1,2023,22,2023-06-03,26683,8.5,
British Columbia,59,2023,23,2023-06-10,2171,8.9,1
Alberta,48,2023,23,2023-06-10,2950,4.6,1
Saskatchewan,47,2023,23,2023-06-10,1213,3.1,1
Manitoba,46,2023,23,2023-06-10,915,7.9,1
Ontario,35,2023,23,2023-06-10,5648,6.3,1
Quebec,24,2023,23,2023-06-10,9116,7.4,1
Newfoundland and Labrador,10,2023,23,2023-06-10,370,16.2,1
New Brunswick,13,2023,23,2023-06-10,629,10.3,1
Nova Scotia,12,2023,23,2023-06-10,1176,17.7,1
Prince Edward Island,11,2023,23,2023-06-10,99,12.1,1
Yukon,60,2023,23,2023-06-10,31,3.2,1
Northwest Territories,61,2023,23,2023-06-10,26,3.8,1
Nunavut,62,2023,23,2023-06-10,87,0,1
Canada,1,2023,23,2023-06-10,24431,7.4,
British Columbia,59,2023,24,2023-06-17,2102,9.5,1
Alberta,48,2023,24,2023-06-17,2446,3.9,1
Saskatchewan,47,2023,24,2023-06-17,1233,2.9,1
Manitoba,46,2023,24,2023-06-17,900,7.1,1
Ontario,35,2023,24,2023-06-17,5230,7.1,1
Quebec,24,2023,24,2023-06-17,8566,5.7,1
Newfoundland and Labrador,10,2023,24,2023-06-17,351,12.8,1
New Brunswick,13,2023,24,2023-06-17,573,10.5,1
Nova Scotia,12,2023,24,2023-06-17,1123,13.4,1
Prince Edward Island,11,2023,24,2023-06-17,49,10.2,1
Yukon,60,2023,24,2023-06-17,38,10.5,1
Northwest Territories,61,2023,24,2023-06-17,11,0,1
Nunavut,62,2023,24,2023-06-17,85,1.2,1
Canada,1,2023,24,2023-06-17,22707,6.7,
British Columbia,59,2023,25,2023-06-24,2061,8,1
Alberta,48,2023,25,2023-06-24,2291,4.1,1
Saskatchewan,47,2023,25,2023-06-24,1112,3,1
Manitoba,46,2023,25,2023-06-24,889,4.6,1
Ontario,35,2023,25,2023-06-24,4997,6.4,1
Quebec,24,2023,25,2023-06-24,7216,5.4,1
Newfoundland and Labrador,10,2023,25,2023-06-24,376,18.9,1
New Brunswick,13,2023,25,2023-06-24,580,6.6,1
Nova Scotia,12,2023,25,2023-06-24,1101,10.4,1
Prince Edward Island,11,2023,25,2023-06-24,69,21.7,1
Yukon,60,2023,25,2023-06-24,28,3.6,1
Northwest Territories,61,2023,25,2023-06-24,18,0,1
Nunavut,62,2023,25,2023-06-24,51,3.9,1
Canada,1,2023,25,2023-06-24,20789,6.2,
British Columbia,59,2023,26,2023-07-01,2070,8.7,1
Alberta,48,2023,26,2023-07-01,2334,4.5,1
Saskatchewan,47,2023,26,2023-07-01,1064,3.2,1
Manitoba,46,2023,26,2023-07-01,811,3.5,1
Ontario,35,2023,26,2023-07-01,4671,5.4,1
Quebec,24,2023,26,2023-07-01,7191,5.8,1
Newfoundland and Labrador,10,2023,26,2023-07-01,304,14.8,1
New Brunswick,13,2023,26,2023-07-01,522,4.4,1
Nova Scotia,12,2023,26,2023-07-01,929,6.9,1
Prince Edward Island,11,2023,26,2023-07-01,73,15.1,1
Yukon,60,2023,26,2023-07-01,37,0,1
Northwest Territories,61,2023,26,2023-07-01,12,0,1
Nunavut,62,2023,26,2023-07-01,55,0,1
Canada,1,2023,26,2023-07-01,20073,5.8,
